body,fit_n2lo,fit_n3lo,Lambda,ref,center,disp,df,scale,breakdown,ls,max_idx,name
NN+3N,1,7,450,16,0,0,1,1,,,,Lb_pdfs_sys-x_NN+3N_fit-1-7_Lamb-450_Q-kf_Lb-300-1000-100_ls-0-2-50_ref-16_midx-x_hyp-0-0-1-1
NN+3N,1,7,450,16,0,0,1,1,,,,ls_pdfs_sys-x_NN+3N_fit-1-7_Lamb-450_Q-kf_Lb-300-1000-100_ls-0-2-50_ref-16_midx-x_hyp-0-0-1-1
NN+3N,1,7,450,16,0,0,1,1,,,3.0,ls-Lb-2d_sys-n_NN+3N_fit-1-7_Lamb-450_Q-kf_Lb-300-1000-100_ls-0-2-50_ref-16_midx-3_hyp-0-0-1-1
NN+3N,1,7,450,16,0,0,1,1,,,3.0,ls-Lb-2d_sys-s_NN+3N_fit-1-7_Lamb-450_Q-kf_Lb-300-1000-100_ls-0-2-50_ref-16_midx-3_hyp-0-0-1-1
NN+3N,1,7,450,16,0,0,1,1,,,2.0,ls-Lb-2d_sys-d_NN+3N_fit-1-7_Lamb-450_Q-kf_Lb-300-1000-100_ls-0-2-50_ref-16_midx-2_hyp-0-0-1-1
NN+3N,1,7,450,16,0,0,1,1,600.0,,,cn_diags_sys-n_NN+3N_fit-1-7_Lamb-450_Q-kf_Lb-600_ls-x_ref-16_midx-x_hyp-0-0-1-1
NN+3N,1,7,450,16,0,0,1,1,600.0,,,obs_sys-n_NN+3N_fit-1-7_Lamb-450_Q-kf_Lb-600_ls-x_ref-16_midx-x_hyp-0-0-1-1
NN+3N,1,7,450,16,0,0,1,1,505.0505050505051,,,cn_diags_sys-n_NN+3N_fit-1-7_Lamb-450_Q-kf_Lb-505_ls-x_ref-16_midx-x_hyp-0-0-1-1
NN+3N,1,7,450,16,0,0,1,1,505.0505050505051,,,obs_sys-n_NN+3N_fit-1-7_Lamb-450_Q-kf_Lb-505_ls-x_ref-16_midx-x_hyp-0-0-1-1
NN+3N,1,7,450,16,0,0,1,1,600.0,,,cn_diags_sys-s_NN+3N_fit-1-7_Lamb-450_Q-kf_Lb-600_ls-x_ref-16_midx-x_hyp-0-0-1-1
NN+3N,1,7,450,16,0,0,1,1,600.0,,,obs_sys-s_NN+3N_fit-1-7_Lamb-450_Q-kf_Lb-600_ls-x_ref-16_midx-x_hyp-0-0-1-1
NN+3N,1,7,450,16,0,0,1,1,328.2828282828283,,,cn_diags_sys-s_NN+3N_fit-1-7_Lamb-450_Q-kf_Lb-328_ls-x_ref-16_midx-x_hyp-0-0-1-1
NN+3N,1,7,450,16,0,0,1,1,328.2828282828283,,,obs_sys-s_NN+3N_fit-1-7_Lamb-450_Q-kf_Lb-328_ls-x_ref-16_midx-x_hyp-0-0-1-1
NN+3N,1,7,450,16,0,0,1,1,600.0,,,cn_diags_sys-d_NN+3N_fit-1-7_Lamb-450_Q-kf_Lb-600_ls-x_ref-16_midx-x_hyp-0-0-1-1
NN+3N,1,7,450,16,0,0,1,1,604.040404040404,,,cn_diags_sys-d_NN+3N_fit-1-7_Lamb-450_Q-kf_Lb-604_ls-x_ref-16_midx-x_hyp-0-0-1-1
NN+3N,4,10,500,16,0,0,1,1,,,,Lb_pdfs_sys-x_NN+3N_fit-4-10_Lamb-500_Q-kf_Lb-300-1000-100_ls-0-2-50_ref-16_midx-x_hyp-0-0-1-1
NN+3N,4,10,500,16,0,0,1,1,,,,ls_pdfs_sys-x_NN+3N_fit-4-10_Lamb-500_Q-kf_Lb-300-1000-100_ls-0-2-50_ref-16_midx-x_hyp-0-0-1-1
NN+3N,4,10,500,16,0,0,1,1,,,3.0,ls-Lb-2d_sys-n_NN+3N_fit-4-10_Lamb-500_Q-kf_Lb-300-1000-100_ls-0-2-50_ref-16_midx-3_hyp-0-0-1-1
NN+3N,4,10,500,16,0,0,1,1,,,3.0,ls-Lb-2d_sys-s_NN+3N_fit-4-10_Lamb-500_Q-kf_Lb-300-1000-100_ls-0-2-50_ref-16_midx-3_hyp-0-0-1-1
NN+3N,4,10,500,16,0,0,1,1,,,2.0,ls-Lb-2d_sys-d_NN+3N_fit-4-10_Lamb-500_Q-kf_Lb-300-1000-100_ls-0-2-50_ref-16_midx-2_hyp-0-0-1-1
NN+3N,4,10,500,16,0,0,1,1,600.0,,,cn_diags_sys-n_NN+3N_fit-4-10_Lamb-500_Q-kf_Lb-600_ls-x_ref-16_midx-x_hyp-0-0-1-1
NN+3N,4,10,500,16,0,0,1,1,600.0,,,obs_sys-n_NN+3N_fit-4-10_Lamb-500_Q-kf_Lb-600_ls-x_ref-16_midx-x_hyp-0-0-1-1
NN+3N,4,10,500,16,0,0,1,1,483.83838383838383,,,cn_diags_sys-n_NN+3N_fit-4-10_Lamb-500_Q-kf_Lb-484_ls-x_ref-16_midx-x_hyp-0-0-1-1
NN+3N,4,10,500,16,0,0,1,1,483.83838383838383,,,obs_sys-n_NN+3N_fit-4-10_Lamb-500_Q-kf_Lb-484_ls-x_ref-16_midx-x_hyp-0-0-1-1
NN+3N,4,10,500,16,0,0,1,1,600.0,,,cn_diags_sys-s_NN+3N_fit-4-10_Lamb-500_Q-kf_Lb-600_ls-x_ref-16_midx-x_hyp-0-0-1-1
NN+3N,4,10,500,16,0,0,1,1,600.0,,,obs_sys-s_NN+3N_fit-4-10_Lamb-500_Q-kf_Lb-600_ls-x_ref-16_midx-x_hyp-0-0-1-1
NN+3N,4,10,500,16,0,0,1,1,321.2121212121212,,,cn_diags_sys-s_NN+3N_fit-4-10_Lamb-500_Q-kf_Lb-321_ls-x_ref-16_midx-x_hyp-0-0-1-1
NN+3N,4,10,500,16,0,0,1,1,321.2121212121212,,,obs_sys-s_NN+3N_fit-4-10_Lamb-500_Q-kf_Lb-321_ls-x_ref-16_midx-x_hyp-0-0-1-1
NN+3N,4,10,500,16,0,0,1,1,600.0,,,cn_diags_sys-d_NN+3N_fit-4-10_Lamb-500_Q-kf_Lb-600_ls-x_ref-16_midx-x_hyp-0-0-1-1
NN+3N,4,10,500,16,0,0,1,1,724.2424242424242,,,cn_diags_sys-d_NN+3N_fit-4-10_Lamb-500_Q-kf_Lb-724_ls-x_ref-16_midx-x_hyp-0-0-1-1
NN-only,1,7,450,16,0,0,1,1,,,,Lb_pdfs_sys-x_NN-only_fit-0-0_Lamb-450_Q-kf_Lb-300-1000-100_ls-0-2-50_ref-16_midx-x_hyp-0-0-1-1
NN-only,1,7,450,16,0,0,1,1,,,,ls_pdfs_sys-x_NN-only_fit-0-0_Lamb-450_Q-kf_Lb-300-1000-100_ls-0-2-50_ref-16_midx-x_hyp-0-0-1-1
NN-only,1,7,450,16,0,0,1,1,,,3.0,ls-Lb-2d_sys-n_NN-only_fit-0-0_Lamb-450_Q-kf_Lb-300-1000-100_ls-0-2-50_ref-16_midx-3_hyp-0-0-1-1
NN-only,1,7,450,16,0,0,1,1,,,3.0,ls-Lb-2d_sys-s_NN-only_fit-0-0_Lamb-450_Q-kf_Lb-300-1000-100_ls-0-2-50_ref-16_midx-3_hyp-0-0-1-1
NN-only,1,7,450,16,0,0,1,1,,,2.0,ls-Lb-2d_sys-d_NN-only_fit-0-0_Lamb-450_Q-kf_Lb-300-1000-100_ls-0-2-50_ref-16_midx-2_hyp-0-0-1-1
NN-only,1,7,450,16,0,0,1,1,600.0,,,cn_diags_sys-n_NN-only_fit-0-0_Lamb-450_Q-kf_Lb-600_ls-x_ref-16_midx-x_hyp-0-0-1-1
NN-only,1,7,450,16,0,0,1,1,600.0,,,obs_sys-n_NN-only_fit-0-0_Lamb-450_Q-kf_Lb-600_ls-x_ref-16_midx-x_hyp-0-0-1-1
NN-only,1,7,450,16,0,0,1,1,745.4545454545455,,,cn_diags_sys-n_NN-only_fit-0-0_Lamb-450_Q-kf_Lb-745_ls-x_ref-16_midx-x_hyp-0-0-1-1
NN-only,1,7,450,16,0,0,1,1,745.4545454545455,,,obs_sys-n_NN-only_fit-0-0_Lamb-450_Q-kf_Lb-745_ls-x_ref-16_midx-x_hyp-0-0-1-1
NN-only,1,7,450,16,0,0,1,1,600.0,,,cn_diags_sys-s_NN-only_fit-0-0_Lamb-450_Q-kf_Lb-600_ls-x_ref-16_midx-x_hyp-0-0-1-1
NN-only,1,7,450,16,0,0,1,1,600.0,,,obs_sys-s_NN-only_fit-0-0_Lamb-450_Q-kf_Lb-600_ls-x_ref-16_midx-x_hyp-0-0-1-1
NN-only,1,7,450,16,0,0,1,1,377.77777777777777,,,cn_diags_sys-s_NN-only_fit-0-0_Lamb-450_Q-kf_Lb-378_ls-x_ref-16_midx-x_hyp-0-0-1-1
NN-only,1,7,450,16,0,0,1,1,377.77777777777777,,,obs_sys-s_NN-only_fit-0-0_Lamb-450_Q-kf_Lb-378_ls-x_ref-16_midx-x_hyp-0-0-1-1
NN-only,1,7,450,16,0,0,1,1,600.0,,,cn_diags_sys-d_NN-only_fit-0-0_Lamb-450_Q-kf_Lb-600_ls-x_ref-16_midx-x_hyp-0-0-1-1
NN-only,1,7,450,16,0,0,1,1,618.1818181818182,,,cn_diags_sys-d_NN-only_fit-0-0_Lamb-450_Q-kf_Lb-618_ls-x_ref-16_midx-x_hyp-0-0-1-1
NN-only,4,10,500,16,0,0,1,1,,,,Lb_pdfs_sys-x_NN-only_fit-0-0_Lamb-500_Q-kf_Lb-300-1000-100_ls-0-2-50_ref-16_midx-x_hyp-0-0-1-1
NN-only,4,10,500,16,0,0,1,1,,,,ls_pdfs_sys-x_NN-only_fit-0-0_Lamb-500_Q-kf_Lb-300-1000-100_ls-0-2-50_ref-16_midx-x_hyp-0-0-1-1
NN-only,4,10,500,16,0,0,1,1,,,3.0,ls-Lb-2d_sys-n_NN-only_fit-0-0_Lamb-500_Q-kf_Lb-300-1000-100_ls-0-2-50_ref-16_midx-3_hyp-0-0-1-1
NN-only,4,10,500,16,0,0,1,1,,,3.0,ls-Lb-2d_sys-s_NN-only_fit-0-0_Lamb-500_Q-kf_Lb-300-1000-100_ls-0-2-50_ref-16_midx-3_hyp-0-0-1-1
NN-only,4,10,500,16,0,0,1,1,,,2.0,ls-Lb-2d_sys-d_NN-only_fit-0-0_Lamb-500_Q-kf_Lb-300-1000-100_ls-0-2-50_ref-16_midx-2_hyp-0-0-1-1
NN-only,4,10,500,16,0,0,1,1,600.0,,,cn_diags_sys-n_NN-only_fit-0-0_Lamb-500_Q-kf_Lb-600_ls-x_ref-16_midx-x_hyp-0-0-1-1
NN-only,4,10,500,16,0,0,1,1,600.0,,,obs_sys-n_NN-only_fit-0-0_Lamb-500_Q-kf_Lb-600_ls-x_ref-16_midx-x_hyp-0-0-1-1
NN-only,4,10,500,16,0,0,1,1,731.3131313131314,,,cn_diags_sys-n_NN-only_fit-0-0_Lamb-500_Q-kf_Lb-731_ls-x_ref-16_midx-x_hyp-0-0-1-1
NN-only,4,10,500,16,0,0,1,1,731.3131313131314,,,obs_sys-n_NN-only_fit-0-0_Lamb-500_Q-kf_Lb-731_ls-x_ref-16_midx-x_hyp-0-0-1-1
NN-only,4,10,500,16,0,0,1,1,600.0,,,cn_diags_sys-s_NN-only_fit-0-0_Lamb-500_Q-kf_Lb-600_ls-x_ref-16_midx-x_hyp-0-0-1-1
NN-only,4,10,500,16,0,0,1,1,600.0,,,obs_sys-s_NN-only_fit-0-0_Lamb-500_Q-kf_Lb-600_ls-x_ref-16_midx-x_hyp-0-0-1-1
NN-only,4,10,500,16,0,0,1,1,328.2828282828283,,,cn_diags_sys-s_NN-only_fit-0-0_Lamb-500_Q-kf_Lb-328_ls-x_ref-16_midx-x_hyp-0-0-1-1
NN-only,4,10,500,16,0,0,1,1,328.2828282828283,,,obs_sys-s_NN-only_fit-0-0_Lamb-500_Q-kf_Lb-328_ls-x_ref-16_midx-x_hyp-0-0-1-1
NN-only,4,10,500,16,0,0,1,1,600.0,,,cn_diags_sys-d_NN-only_fit-0-0_Lamb-500_Q-kf_Lb-600_ls-x_ref-16_midx-x_hyp-0-0-1-1
NN-only,4,10,500,16,0,0,1,1,533.3333333333334,,,cn_diags_sys-d_NN-only_fit-0-0_Lamb-500_Q-kf_Lb-533_ls-x_ref-16_midx-x_hyp-0-0-1-1
